Year,Site,FID,Weight,Length,AC,AGE,SexCon,Sex,Delts,logW,logL,fyr,Ws,Wr,gcat
2012,18,NA,155,220,2,NA,NA,NA,NA,2.1903316982,2.3424226808,2012,137.6415118751,112.6113756587,stock
2012,18,NA,145,220,3,NA,NA,NA,NA,2.1613680022,2.3424226808,2012,137.6415118751,105.3461256162,stock
2012,18,NA,170,230,3,NA,NA,NA,NA,2.2304489214,2.361727836,2012,159.1971201974,106.7858512699,stock
2012,18,NA,700,347,3,NA,NA,NA,NA,2.84509804,2.5403294748,2012,611.6435087166,114.4457498566,quality
2012,18,NA,850,364,3,NA,NA,NA,NA,2.9294189257,2.5611013836,2012,715.2944060823,118.8321889242,quality
2012,18,NA,750,368,3,NA,NA,NA,NA,2.8750612634,2.5658478187,2012,741.3442279394,101.1675779934,quality
2012,18,NA,850,368,3,NA,NA,NA,NA,2.9294189257,2.5658478187,2012,741.3442279394,114.6565883925,quality
2012,18,NA,800,371,3,NA,NA,NA,NA,2.903089987,2.5693739096,2012,761.3087234295,105.0822058621,quality
2012,18,NA,950,374,3,NA,NA,NA,NA,2.9777236053,2.5728716022,2012,781.6435598897,121.5387740333,quality
2012,18,NA,850,377,3,NA,NA,NA,NA,2.9294189257,2.5763413502,2012,802.3525537244,105.9384675794,quality
2012,18,NA,900,379,3,NA,NA,NA,NA,2.9542425094,2.57863921,2012,816.3683032551,110.2443586322,quality
2012,18,NA,800,385,3,NA,NA,NA,NA,2.903089987,2.5854607295,2012,859.4348645988,93.0844247718,preferred
2012,18,NA,850,388,3,NA,NA,NA,NA,2.9294189257,2.5888317256,2012,881.5485549548,96.4212345676,preferred
2012,18,NA,970,393,3,NA,NA,NA,NA,2.9867717343,2.5943925504,2012,919.2778954282,105.5176029821,preferred
2012,18,NA,940,403,3,NA,NA,NA,NA,2.9731278536,2.6053050461,2012,998.0755483346,94.1812472581,preferred
2012,18,NA,1090,405,3,NA,NA,NA,NA,3.0374264979,2.6074550232,2012,1014.3790963586,107.4548957005,preferred
2012,18,NA,1100,410,3,NA,NA,NA,NA,3.0413926852,2.6127838567,2012,1055.9456441743,104.1720287468,preferred
2012,18,NA,1150,415,3,NA,NA,NA,NA,3.0606978404,2.6180480967,2012,1098.6805102645,104.6710112044,preferred
2012,18,NA,1150,418,3,NA,NA,NA,NA,3.0606978404,2.6211762818,2012,1124.8897778368,102.232238452,preferred
2012,18,NA,1400,418,3,NA,NA,NA,NA,3.1461280357,2.6211762818,2012,1124.8897778368,124.4566381154,preferred
2012,18,NA,1320,425,3,NA,NA,NA,NA,3.1205739312,2.6283889301,2012,1187.727926764,111.1365633707,preferred
2014,11,NA,198,219,3,NA,NA,NA,NA,2.2966651903,2.3404441148,2014,135.6043395558,146.013026315,stock
2014,4,NA,198,220,3,NA,NA,NA,NA,2.2966651903,2.3424226808,2014,137.6415118751,143.8519508415,stock
2014,11,NA,255,237,3,NA,NA,NA,NA,2.4065401804,2.374748346,2014,175.610846561,145.2074316556,stock
2014,2,NA,227,238,3,NA,NA,NA,NA,2.3560258572,2.3765769571,2014,178.0477051518,127.4939206919,stock
2014,2,NA,255,241,3,NA,NA,NA,NA,2.4065401804,2.3820170426,2014,185.4990886772,137.4669826243,stock
2014,18,NA,198,241,3,NA,NA,NA,NA,2.2966651903,2.3820170426,2014,185.4990886772,106.7390688612,stock
2014,1,NA,198,245,3,NA,NA,NA,NA,2.2966651903,2.3891660844,2014,195.7674996911,101.1403835225,stock
2014,1,NA,227,246,3,NA,NA,NA,NA,2.3560258572,2.3909351071,2014,198.3949464562,114.4182369837,stock
2014,1,NA,255,250,3,NA,NA,NA,NA,2.4065401804,2.3979400087,2014,209.1498937945,121.9221274148,stock
2014,1,NA,227,251,3,NA,NA,NA,NA,2.3560258572,2.3996737215,2014,211.9005531515,107.1257231866,stock
2014,2,NA,255,252,3,NA,NA,NA,NA,2.4065401804,2.4014005408,2014,214.6762349849,118.7835253483,stock
2014,8,NA,227,252,3,NA,NA,NA,NA,2.3560258572,2.4014005408,2014,214.6762349849,105.7406284473,stock
2014,1,NA,255,254,3,NA,NA,NA,NA,2.4065401804,2.4048337166,2014,220.3031741212,115.7495805574,stock
2014,8,NA,283,255,3,NA,NA,NA,NA,2.4517864355,2.4065401804,2014,223.154685788,126.8178613417,stock
2014,2,NA,312,256,3,NA,NA,NA,NA,2.494154594,2.4082399653,2014,226.0317286581,138.033718475,stock
2014,18,NA,227,256,3,NA,NA,NA,NA,2.3560258572,2.4082399653,2014,226.0317286581,100.4283785058,stock
2014,11,NA,340,257,3,NA,NA,NA,NA,2.531478917,2.4099331233,2014,228.9344302553,148.5141398875,stock
2014,11,NA,255,257,3,NA,NA,NA,NA,2.4065401804,2.4099331233,2014,228.9344302553,111.3856049156,stock
2014,15,NA,340,257,3,NA,NA,NA,NA,2.531478917,2.4099331233,2014,228.9344302553,148.5141398875,stock
2014,11,NA,340,258,3,NA,NA,NA,NA,2.531478917,2.411619706,2014,231.8629182397,146.6383683003,stock
2014,8,NA,255,260,3,NA,NA,NA,NA,2.4065401804,2.414973348,2014,237.7977646872,107.2339768776,stock
2014,10,NA,312,260,3,NA,NA,NA,NA,2.494154594,2.414973348,2014,237.7977646872,131.2039246502,stock
2014,2,NA,255,261,3,NA,NA,NA,NA,2.4065401804,2.4166405073,2014,240.8043791471,105.8950841771,stock
2014,8,NA,283,261,3,NA,NA,NA,NA,2.4517864355,2.4166405073,2014,240.8043791471,117.5227796946,stock
2014,8,NA,283,262,3,NA,NA,NA,NA,2.4517864355,2.4183012913,2014,243.8372919867,116.0610002245,stock
2014,11,NA,369,262,3,NA,NA,NA,NA,2.5670263662,2.4183012913,2014,243.8372919867,151.3304207874,stock
2014,11,NA,340,263,3,NA,NA,NA,NA,2.531478917,2.4199557485,2014,246.8966315405,137.7094526882,stock
2014,2,NA,255,266,3,NA,NA,NA,NA,2.4065401804,2.4248816366,2014,256.234495837,99.5182163772,stock
2014,11,NA,369,266,3,NA,NA,NA,NA,2.5670263662,2.4248816366,2014,256.234495837,144.0087131105,stock
2014,15,NA,312,266,3,NA,NA,NA,NA,2.494154594,2.4248816366,2014,256.234495837,121.7634647438,stock
2014,4,NA,255,268,3,NA,NA,NA,NA,2.4065401804,2.428134794,2014,262.5942310755,97.1079977483,stock
2014,2,NA,255,269,3,NA,NA,NA,NA,2.4065401804,2.42975228,2014,265.8148334059,95.9314409706,stock
2014,2,NA,312,269,3,NA,NA,NA,NA,2.494154594,2.42975228,2014,265.8148334059,117.3749395406,stock
2014,11,NA,340,269,3,NA,NA,NA,NA,2.531478917,2.42975228,2014,265.8148334059,127.9085879609,stock
2014,11,NA,312,269,3,NA,NA,NA,NA,2.494154594,2.42975228,2014,265.8148334059,117.3749395406,stock
2014,1,NA,340,270,3,NA,NA,NA,NA,2.531478917,2.4313637642,2014,269.0627645178,126.3645679882,stock
2014,15,NA,312,270,3,NA,NA,NA,NA,2.494154594,2.4313637642,2014,269.0627645178,115.9580741539,stock
2014,15,NA,369,273,3,NA,NA,NA,NA,2.5670263662,2.436162647,2014,278.9718251424,132.2714219659,stock
2014,11,NA,283,274,3,NA,NA,NA,NA,2.4517864355,2.4377505628,2014,282.3303666335,100.2371807803,stock
2014,1,NA,340,275,3,NA,NA,NA,NA,2.531478917,2.4393326938,2014,285.7168851846,118.9989173304,stock
