"","FID","AgerA","AgerB","AgerC","Difference"
"1","1",4,4,4,"NO"
"2","2",4,4,4,"NO"
"3","3",4,4,4,"NO"
"4","4",6,6,6,"NO"
"5","5",4,4,4,"NO"
"6","6",NA,NA,NA,NA
"7","7",1,1,4,"YES"
"8","8",2,2,2,"NO"
"9","9",4,4,4,"NO"
"10","10",8,8,8,"NO"
"11","11",4,4,4,"NO"
"12","12",5,5,5,"NO"
"13","13",5,5,5,"NO"
"14","14",2,2,2,"NO"
"15","15",1,1,1,"NO"
"16","16",1,1,1,"NO"
"17","17",3,3,3,"NO"
"18","18",3,3,3,"NO"
"19","19",2,2,2,"NO"
"20","20",4,4,4,"NO"
"21","21",4,4,4,"NO"
"22","22",4,4,4,"NO"
"23","23",2,2,2,"NO"
"24","24",6,6,6,"NO"
"25","25",2,2,2,"NO"
"26","26",7,7,7,"NO"
"27","27",1,1,2,"YES"
"28","28",NA,NA,NA,NA
"29","29",1,1,2,"YES"
"30","30",4,4,4,"NO"
"31","31",4,4,4,"NO"
"32","32",3,3,3,"NO"
"33","33",2,2,2,"NO"
"34","34",1,1,2,"YES"
"35","35",1,2,2,"YES"
"36","36",3,3,3,"NO"
"37","37",5,5,5,"NO"
"38","38",4,4,4,"NO"
"39","39",1,1,1,"NO"
"40","40",4,4,4,"NO"
"41","41",4,4,4,"NO"
"42","42",4,4,4,"NO"
"43","43",3,3,3,"NO"
"44","44",4,4,4,"NO"
"45","45",2,2,2,"NO"
"46","46",2,2,2,"NO"
"47","47",5,5,5,"NO"
"48","48",4,4,4,"NO"
"49","49",7,7,7,"NO"
"50","50",5,5,5,"NO"
"51","51",5,5,5,"NO"
"52","52",3,3,3,"NO"
"53","53",2,2,2,"NO"
"54","54",2,2,2,"NO"
"55","56",2,2,2,"NO"
"56","57",2,2,2,"NO"
"57","58",2,2,2,"NO"
"58","59",5,5,5,"NO"
"59","60",4,4,4,"NO"
"60","61",3,3,3,"NO"
"61","62",2,2,2,"NO"
"62","63",1,2,2,"YES"
"63","64",2,2,2,"NO"
"64","65",2,2,2,"NO"
"65","66",2,2,2,"NO"
"66","67",2,2,2,"NO"
"67","68",2,2,2,"NO"
"68","69",1,1,1,"NO"
"69","70",1,1,1,"NO"
"70","71",2,2,1,"YES"
"71","72",1,1,1,"NO"
"72","73",1,1,1,"NO"
"73","74",1,1,1,"NO"
"74","75",1,1,1,"NO"
"75","76",1,1,1,"NO"
"76","77",1,1,1,"NO"
"77","78",1,1,1,"NO"
"78","79",NA,NA,NA,NA
"79","80",1,1,1,"NO"
"80","81",NA,NA,NA,NA
"81","82",1,1,1,"NO"
"82","83",1,1,1,"NO"
"83","84",1,1,1,"NO"
"84","85",1,1,1,"NO"
"85","86",1,1,1,"NO"
"86","87",1,1,1,"NO"
"87","88",1,1,1,"NO"
"88","89",1,1,1,"NO"
"89","90",2,1,2,"YES"
"90","91",2,2,2,"NO"
"91","92",2,2,2,"NO"
"92","93",4,4,4,"NO"
"93","94",4,4,4,"NO"
"94","95",2,2,2,"NO"
"95","96",1,1,1,"NO"
"96","97",2,2,2,"NO"
"97","98",2,2,2,"NO"
"98","99",2,2,2,"NO"
"99","100",2,2,2,"NO"
"100","101",2,2,2,"NO"
"101","102",2,2,2,"NO"
"102","103",4,4,4,"NO"
"103","104",2,2,2,"NO"
"104","105",4,4,4,"NO"
"105","106",2,2,2,"NO"
"106","107",2,2,2,"NO"
"107","108",2,2,2,"NO"
"108","109",5,5,5,"NO"
"109","110",1,1,1,"NO"
"110","111",2,2,2,"NO"
"111","112",2,2,2,"NO"
"112","113",4,4,4,"NO"
"113","114",2,2,2,"NO"
"114","115",2,2,2,"NO"
"115","116",5,5,5,"NO"
"116","117",2,2,2,"NO"
"117","118",3,3,3,"NO"
"118","119",2,2,2,"NO"
"119","120",2,2,2,"NO"
"120","121",1,1,1,"NO"
"121","122",1,1,2,"YES"
"122","123",2,2,2,"NO"
"123","124",NA,NA,1,NA
"124","125",2,2,2,"NO"
"125","126",2,2,2,"NO"
"126","127",2,2,2,"NO"
"127","128",5,5,5,"NO"
"128","129",4,4,4,"NO"
"129","130",2,2,2,"NO"
"130","131",2,2,2,"NO"
"131","132",7,7,7,"NO"
