"","FID","Site","AgeCap","Anu1","Anu2","Anu3","Anu4","Anu5","Anu6","Anu7","Anu8","Anu9","RadCap","LenCap","WTg","SEXCON","Sex"
"1","1","11",4,0.4328,0.6898,0.8028,0.9269,0.9402,NA,NA,NA,NA,0.9402,347,658,"8","2"
"2","2","11",4,0.5665,0.7181,0.8486,0.9582,0.9884,NA,NA,NA,NA,0.9884,292,415,"3","1"
"3","3","11",4,0.4618,0.6364,0.7512,0.8155,0.836,NA,NA,NA,NA,0.836,348,557,"3","1"
"4","4","12",6,0.462,0.6452,0.7841,0.8784,0.9983,1.0419,1.0793,NA,NA,1.0793,374,669,"8","2"
"5","5","18",4,0.4052,0.5593,0.7204,0.7988,0.8316,NA,NA,NA,NA,0.8316,375,716,"3","1"
"6","6","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,719,"8","2"
"7","7","18",1,0.5924,0.6543,NA,NA,NA,NA,NA,NA,NA,0.6543,195,118,"8","2"
"8","8","18",2,0.5198,0.7076,0.756,NA,NA,NA,NA,NA,NA,0.756,289,479,"3","1"
"9","9","18",4,0.4909,0.6787,0.8055,0.9087,0.9389,NA,NA,NA,NA,0.9389,388,986,"3","1"
"10","10","18",8,0.4272,0.6013,0.751,0.8624,0.9667,1.0669,1.166,1.2129,1.2518,1.2518,423,1258,"8","2"
"11","11","18",4,0.4711,0.6377,0.7434,0.8303,0.8541,NA,NA,NA,NA,0.8541,409,1131,"8","2"
"12","12","18",5,0.4627,0.6761,0.7969,0.9002,0.9667,0.9844,NA,NA,NA,0.9844,380,979,"3","1"
"13","13","18",5,0.5755,0.6963,0.8732,0.9689,1.0828,1.1038,NA,NA,NA,1.1038,380,950,"3","1"
"14","14","18",2,0.6283,0.8312,0.8813,NA,NA,NA,NA,NA,NA,0.8813,293,466,"3","1"
"15","15","18",1,0.5991,0.6548,NA,NA,NA,NA,NA,NA,NA,0.6548,228,193,"8","2"
"16","16","18",1,0.5022,0.5506,NA,NA,NA,NA,NA,NA,NA,0.5506,214,171,"6","2"
"17","17","18",3,0.5105,0.7114,0.8331,0.856,NA,NA,NA,NA,NA,0.856,317,482,"3","1"
"18","18","18",3,0.4362,0.6159,0.7294,0.8032,NA,NA,NA,NA,NA,0.8032,315,500,"3","1"
"19","19","18",2,0.5486,0.7399,0.8143,NA,NA,NA,NA,NA,NA,0.8143,323,522,"8","2"
"20","20","18",4,0.4684,0.5811,0.7128,0.7952,0.8353,NA,NA,NA,NA,0.8353,374,909,"8","2"
"21","21","18",4,0.4765,0.6793,0.7909,0.8811,0.9166,NA,NA,NA,NA,0.9166,361,774,"8","2"
"22","22","18",4,0.4428,0.6598,0.7756,0.8712,0.9135,NA,NA,NA,NA,0.9135,385,811,"3","1"
"23","23","18",2,0.4839,0.6286,0.6716,NA,NA,NA,NA,NA,NA,0.6716,299,473,"8","2"
"24","24","18",6,0.4241,0.6718,0.8435,0.9813,1.0692,1.1303,1.1542,NA,NA,1.1542,431,1312,"8","2"
"25","25","18",2,0.5016,0.7002,0.7537,NA,NA,NA,NA,NA,NA,0.7537,318,590,"3","1"
"26","26","18",7,0.4086,0.588,0.7877,0.9167,1.0282,1.0873,1.145,1.1742,NA,1.145,386,901,"3","1"
"27","27","18",1,0.4257,0.4693,NA,NA,NA,NA,NA,NA,NA,0.4693,133,36,"6","2"
"28","28","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,125,"6","2"
"29","29","18",1,0.5259,0.5657,NA,NA,NA,NA,NA,NA,NA,0.5657,217,166,"6","2"
"30","30","18",4,0.4267,0.5961,0.7172,0.8109,0.8355,NA,NA,NA,NA,0.8355,339,612,"3","1"
"31","31","18",4,0.463,0.6283,0.7943,0.8899,0.9253,NA,NA,NA,NA,0.9253,353,742,"8","2"
"32","32","18",3,0.5143,0.6978,0.8177,0.8355,NA,NA,NA,NA,NA,0.8355,343,861,"8","2"
"33","33","18",2,0.4744,0.666,0.7075,NA,NA,NA,NA,NA,NA,0.7075,276,333,"1","1"
"34","34","18",1,0.5204,0.5789,NA,NA,NA,NA,NA,NA,NA,0.5789,236,206,"8","2"
"35","35","18",1,0.5151,0.5728,NA,NA,NA,NA,NA,NA,NA,0.5728,207,128,"1","1"
"36","36","18",3,0.4444,0.6404,0.7416,0.7759,NA,NA,NA,NA,NA,0.7759,315,454,"3","1"
"37","37","18",5,0.644,0.826,1.0195,1.1615,1.2921,1.3237,NA,NA,NA,1.3237,403,1003,"8","2"
"38","38","18",4,0.5294,0.6541,0.7572,0.8241,0.8497,NA,NA,NA,NA,0.8497,361,735,"8","2"
"39","39","18",1,0.533,0.5999,NA,NA,NA,NA,NA,NA,NA,0.5999,223,189,"1","1"
"40","40","18",4,0.4387,0.5982,0.7512,0.8434,0.8781,NA,NA,NA,NA,0.8781,398,1066,"3","1"
"41","41","18",4,0.4093,0.5491,0.6652,0.7839,0.8144,NA,NA,NA,NA,0.8144,369,788,"3","1"
"42","42","18",4,0.5244,0.7221,0.8409,0.9199,0.9377,NA,NA,NA,NA,0.9377,369,681,"3","1"
"43","43","18",3,0.5318,0.746,0.8824,0.9218,NA,NA,NA,NA,NA,0.9218,313,516,"8","2"
"44","44","18",4,0.4625,0.6354,0.75,0.8521,0.8693,NA,NA,NA,NA,0.8693,370,873,"3","1"
"45","45","18",2,0.3948,0.595,0.63,NA,NA,NA,NA,NA,NA,0.63,314,596,"8","2"
"46","46","18",2,0.6249,0.7715,0.7936,NA,NA,NA,NA,NA,NA,0.7936,316,603,"8","2"
"47","47","10",5,0.535,0.7593,0.9283,1.0517,1.1488,1.18,NA,NA,NA,1.18,330,598,"3","1"
"48","48","10",4,0.567,0.8432,1.0086,1.1517,1.1816,NA,NA,NA,NA,1.1816,359,840,"8","2"
"49","49","8",7,0.4075,0.5761,0.7038,0.8226,0.9163,1.0029,1.0592,1.089,NA,1.0592,362,767,"3","1"
"50","50","8",5,0.4745,0.6038,0.7148,0.7923,0.869,0.9137,NA,NA,NA,0.9137,351,721,"3","1"
"51","51","8",5,0.5073,0.682,0.7996,0.8789,0.9662,0.987,NA,NA,NA,0.987,344,630,"3","1"
"52","52","8",3,0.43,0.7127,0.8633,0.8976,NA,NA,NA,NA,NA,0.8976,294,481,"3","1"
"53","53","8",2,0.5558,0.8015,0.8746,NA,NA,NA,NA,NA,NA,0.8746,277,328,"8","2"
"54","54","8",2,0.5382,0.814,0.8326,NA,NA,NA,NA,NA,NA,0.8326,288,409,"3","1"
"55","56","8",2,0.4108,0.6524,0.6769,NA,NA,NA,NA,NA,NA,0.6769,260,259,"8","2"
"56","57","8",2,0.64,0.8518,0.884,NA,NA,NA,NA,NA,NA,0.884,276,327,"8","2"
"57","58","8",2,0.5507,0.72,0.7589,NA,NA,NA,NA,NA,NA,0.7589,254,213,"3","1"
"58","59","8",5,0.516,0.702,0.8113,0.8966,0.9742,0.9915,NA,NA,NA,0.9915,354,780,"3","1"
"59","60","8",4,0.3636,0.5154,0.6368,0.7001,0.7376,NA,NA,NA,NA,0.7376,338,666,"8","2"
"60","61","8",3,0.5184,0.6767,0.8012,0.8311,NA,NA,NA,NA,NA,0.8311,319,591,"8","2"
"61","62","8",2,0.3993,0.5528,0.5836,NA,NA,NA,NA,NA,NA,0.5836,265,269,"8","2"
"62","63","8",2,0.4116,0.6743,0.7299,NA,NA,NA,NA,NA,NA,0.7299,248,246,"8","2"
"63","64","8",2,0.4208,0.6154,0.6582,NA,NA,NA,NA,NA,NA,0.6582,256,250,"8","2"
"64","65","8",2,0.4404,0.6931,0.7615,NA,NA,NA,NA,NA,NA,0.7615,245,238,"8","2"
"65","66","8",2,0.4991,0.6755,0.6905,NA,NA,NA,NA,NA,NA,0.6905,249,231,"3","1"
"66","67","8",2,0.4983,0.7402,0.784,NA,NA,NA,NA,NA,NA,0.784,254,308,"3","1"
"67","68","8",2,0.6184,0.879,0.9348,NA,NA,NA,NA,NA,NA,0.9348,261,306,"8","2"
"68","69","8",1,0.3807,0.4511,NA,NA,NA,NA,NA,NA,NA,0.4511,154,54,"6","2"
"69","70","8",1,0.5013,0.596,NA,NA,NA,NA,NA,NA,NA,0.596,222,171,"6","2"
"70","71","8",2,0.4736,0.6579,0.7008,NA,NA,NA,NA,NA,NA,0.7008,219,172,"8","2"
"71","72","8",1,0.4612,0.5503,NA,NA,NA,NA,NA,NA,NA,0.5503,189,102,"1","1"
"72","73","8",1,0.4565,0.5103,NA,NA,NA,NA,NA,NA,NA,0.5103,194,108,"6","2"
"73","74","8",1,0.4804,0.5357,NA,NA,NA,NA,NA,NA,NA,0.5357,172,76,"6","2"
"74","75","8",1,0.5476,0.6079,NA,NA,NA,NA,NA,NA,NA,0.6079,174,83,"6","2"
"75","76","8",1,0.4597,0.523,NA,NA,NA,NA,NA,NA,NA,0.523,174,85,"6","2"
"76","77","8",1,0.4638,0.5459,NA,NA,NA,NA,NA,NA,NA,0.5459,183,95,"6","2"
"77","78","8",1,0.4794,0.5623,NA,NA,NA,NA,NA,NA,NA,0.5623,182,94,"6","2"
"78","79","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,71,"6","2"
"79","80","8",1,0.4007,0.4314,NA,NA,NA,NA,NA,NA,NA,0.4314,165,69,"6","2"
"80","81","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,74,"1","1"
"81","82","8",1,0.4523,0.4754,NA,NA,NA,NA,NA,NA,NA,0.4754,146,48,"1","1"
"82","83","8",1,0.3809,0.4528,NA,NA,NA,NA,NA,NA,NA,0.4528,143,42,"6","2"
"83","84","8",1,0.5052,0.5745,NA,NA,NA,NA,NA,NA,NA,0.5745,154,57,"6","2"
"84","85","8",1,0.494,0.5862,NA,NA,NA,NA,NA,NA,NA,0.5862,135,40,"6","2"
"85","86","8",1,0.4054,0.4589,NA,NA,NA,NA,NA,NA,NA,0.4589,132,34,"1","1"
"86","87","8",1,0.4318,0.5022,NA,NA,NA,NA,NA,NA,NA,0.5022,118,26,"1","1"
"87","88","8",1,0.4436,0.5711,NA,NA,NA,NA,NA,NA,NA,0.5711,123,27,"6","2"
"88","89","8",1,0.3983,0.4328,NA,NA,NA,NA,NA,NA,NA,0.4328,136,38,"0","0"
"89","90","2",2,0.4963,0.7083,0.7336,NA,NA,NA,NA,NA,NA,0.7336,316,581,"8","2"
"90","91","2",2,0.3341,0.5539,0.6179,NA,NA,NA,NA,NA,NA,0.6179,256,281,"6","2"
"91","92","2",2,0.3973,0.6072,0.6386,NA,NA,NA,NA,NA,NA,0.6386,304,416,"8","2"
"92","93","2",4,0.4504,0.6688,0.7982,0.8853,0.9046,NA,NA,NA,NA,0.9046,360,681,"3","1"
"93","94","2",4,0.4644,0.6052,0.7129,0.8009,0.8265,NA,NA,NA,NA,0.8265,344,688,"3","1"
"94","95","2",2,0.3994,0.5602,0.6139,NA,NA,NA,NA,NA,NA,0.6139,290,399,"8","2"
"95","96","2",1,0.4491,0.5468,NA,NA,NA,NA,NA,NA,NA,0.5468,231,206,"6","2"
"96","97","2",2,0.492,0.7852,0.823,NA,NA,NA,NA,NA,NA,0.823,298,429,"8","2"
"97","98","2",2,0.3397,0.5603,0.6144,NA,NA,NA,NA,NA,NA,0.6144,275,361,"3","1"
"98","99","2",2,0.3785,0.601,0.6664,NA,NA,NA,NA,NA,NA,0.6664,289,409,"8","2"
"99","100","2",2,0.5602,0.7884,0.8248,NA,NA,NA,NA,NA,NA,0.8248,279,395,"8","2"
"100","101","2",2,0.4035,0.6077,0.6396,NA,NA,NA,NA,NA,NA,0.6396,310,510,"8","2"
"101","102","2",2,0.4207,0.6114,0.6616,NA,NA,NA,NA,NA,NA,0.6616,289,375,"3","1"
"102","103","4",4,0.4303,0.6,0.7572,0.8979,0.9194,NA,NA,NA,NA,0.9194,336,675,"3","1"
"103","104","4",2,0.4061,0.5852,0.6501,NA,NA,NA,NA,NA,NA,0.6501,220,175,"1","1"
"104","105","4",4,0.5281,0.6495,0.7479,0.8335,0.8706,NA,NA,NA,NA,0.8706,373,934,"8","2"
"105","106","4",2,0.4506,0.7155,0.7299,NA,NA,NA,NA,NA,NA,0.7299,254,270,"1","1"
"106","107","4",2,0.5218,0.6852,0.7249,NA,NA,NA,NA,NA,NA,0.7249,245,248,"8","2"
"107","108","4",2,0.3694,0.5652,0.6234,NA,NA,NA,NA,NA,NA,0.6234,289,426,"8","2"
"108","109","4",5,0.3756,0.5881,0.7138,0.8103,0.8909,0.921,NA,NA,NA,0.921,358,768,"8","2"
"109","110","4",1,0.3752,0.4386,NA,NA,NA,NA,NA,NA,NA,0.4386,177,98,"1","1"
"110","111","4",2,0.5193,0.7456,0.8115,NA,NA,NA,NA,NA,NA,0.8115,265,328,"3","1"
"111","112","4",2,0.4285,0.6215,0.6625,NA,NA,NA,NA,NA,NA,0.6625,269,331,"3","1"
"112","113","4",4,0.45,0.6654,0.8035,0.8719,0.9114,NA,NA,NA,NA,0.9114,336,600,"3","1"
"113","114","2",2,0.617,0.8782,0.9192,NA,NA,NA,NA,NA,NA,0.9192,307,253,"3","1"
"114","115","2",2,0.4192,0.632,0.6814,NA,NA,NA,NA,NA,NA,0.6814,275,330,"8","2"
"115","116","6",5,0.4926,0.7723,0.9196,1.0478,1.134,1.1649,NA,NA,NA,1.1649,358,744,"3","1"
"116","117","6",2,0.5013,0.687,0.7378,NA,NA,NA,NA,NA,NA,0.7378,279,321,"3","1"
"117","118","6",3,0.5743,0.7966,0.9743,1.0115,NA,NA,NA,NA,NA,1.0115,324,496,"3","1"
"118","119","6",2,0.4655,0.6863,0.7614,NA,NA,NA,NA,NA,NA,0.7614,236,119,"8","2"
"119","120","6",2,0.5402,0.7253,0.7764,NA,NA,NA,NA,NA,NA,0.7764,259,227,"8","2"
"120","121","6",1,0.3628,0.4184,NA,NA,NA,NA,NA,NA,NA,0.4184,183,88,"6","2"
