"","FID","Site","AgeCap","RadCap","LenCap","WTg","SEXCON","Sex","Agei","Radi","BI.len"
"1","1","11",4,0.9402,347,658,"8","2",1,0.4328,154.679032258064
"2","1","11",4,0.9402,347,658,"8","2",2,0.6898,252.090322580645
"3","1","11",4,0.9402,347,658,"8","2",3,0.8028,294.920967741935
"4","1","11",4,0.9402,347,658,"8","2",4,0.9269,341.958870967742
"5","2","11",4,0.9884,292,415,"3","1",1,0.5665,164.509555275855
"6","2","11",4,0.9884,292,415,"3","1",2,0.7181,210.320295783512
"7","2","11",4,0.9884,292,415,"3","1",3,0.8486,249.755003146633
"8","2","11",4,0.9884,292,415,"3","1",4,0.9582,282.874113698343
"9","3","11",4,0.836,348,557,"3","1",1,0.4618,187.248164794007
"10","3","11",4,0.836,348,557,"3","1",2,0.6364,262.254232209738
"11","3","11",4,0.836,348,557,"3","1",3,0.7512,311.570936329588
"12","3","11",4,0.836,348,557,"3","1",4,0.8155,339.193445692884
"13","4","12",6,1.0793,374,669,"8","2",1,0.462,155.228832710907
"14","4","12",6,1.0793,374,669,"8","2",2,0.6452,220.154926745188
"15","4","12",6,1.0793,374,669,"8","2",3,0.7841,269.381097385809
"16","4","12",6,1.0793,374,669,"8","2",4,0.8784,302.801024609786
"17","4","12",6,1.0793,374,669,"8","2",5,0.9983,345.293593794887
"18","4","12",6,1.0793,374,669,"8","2",6,1.0419,360.745437134923
"19","5","18",4,0.8316,375,716,"3","1",1,0.4052,176.359477780567
"20","5","18",4,0.8316,375,716,"3","1",2,0.5593,248.147715289982
"21","5","18",4,0.8316,375,716,"3","1",3,0.7204,323.196936982174
"22","5","18",4,0.8316,375,716,"3","1",4,0.7988,359.719959829274
"23","7","18",1,0.6543,195,118,"8","2",1,0.5924,175.8992572259
"24","8","18",2,0.756,289,479,"3","1",1,0.5198,195.601081830791
"25","8","18",2,0.756,289,479,"3","1",2,0.7076,269.861525658807
"26","9","18",4,0.9389,388,986,"3","1",1,0.4909,197.628498727735
"27","9","18",4,0.9389,388,986,"3","1",2,0.6787,277.43155216285
"28","9","18",4,0.9389,388,986,"3","1",3,0.8055,331.313486005089
"29","9","18",4,0.9389,388,986,"3","1",4,0.9087,375.166921119593
"30","10","18",8,1.2518,423,1258,"8","2",1,0.4272,138.98466469428
"31","10","18",8,1.2518,423,1258,"8","2",2,0.6013,198.94958086785
