Year,Site,FID,Weight,Length,AC,AGE,SexCon,Sex,Delts
2012,18,NA,8,72,2,NA,NA,NA,NA
2012,18,NA,10,82,2,NA,NA,NA,NA
2012,18,NA,10,85,2,NA,NA,NA,NA
2012,18,NA,30,108,2,NA,NA,NA,NA
2012,18,NA,25,110,2,NA,NA,NA,NA
2012,18,NA,20,115,2,NA,NA,NA,NA
2012,18,NA,40,119,2,NA,NA,NA,NA
2012,18,NA,155,220,2,NA,NA,NA,NA
2012,18,NA,145,220,3,NA,NA,NA,NA
2012,18,NA,170,230,3,NA,NA,NA,NA
2012,18,NA,700,347,3,NA,NA,NA,NA
2012,18,NA,850,364,3,NA,NA,NA,NA
2012,18,NA,750,368,3,NA,NA,NA,NA
2012,18,NA,850,368,3,NA,NA,NA,NA
2012,18,NA,800,371,3,NA,NA,NA,NA
2012,18,NA,950,374,3,NA,NA,NA,NA
2012,18,NA,850,377,3,NA,NA,NA,NA
2012,18,NA,900,379,3,NA,NA,NA,NA
2012,18,NA,800,385,3,NA,NA,NA,NA
2012,18,NA,850,388,3,NA,NA,NA,NA
2012,18,NA,970,393,3,NA,NA,NA,NA
2012,18,NA,940,403,3,NA,NA,NA,NA
2012,18,NA,1090,405,3,NA,NA,NA,NA
2012,18,NA,1100,410,3,NA,NA,NA,NA
2012,18,NA,1150,415,3,NA,NA,NA,NA
2012,18,NA,1150,418,3,NA,NA,NA,NA
2012,18,NA,1400,418,3,NA,NA,NA,NA
2012,18,NA,1320,425,3,NA,NA,NA,NA
2013,8,55,NA,146,NA,1,6,2,NA
2013,2,77,NA,154,NA,1,1,1,NA
2013,2,78,NA,159,NA,1,6,2,NA
2013,8,60,NA,162,NA,1,6,2,NA
2013,2,98,NA,164,NA,2,1,1,NA
2013,2,71,NA,164,NA,2,8,2,NA
2013,18,145,NA,165,NA,1,3,1,NA
2013,8,54,NA,165,NA,1,6,2,NA
2013,18,NA,NA,167,3,NA,NA,NA,NA
2013,2,73,NA,170,NA,1,1,1,NA
2013,2,91,NA,177,NA,2,1,1,NA
2013,2,74,NA,182,NA,1,3,1,NA
2013,2,68,NA,186,NA,2,1,1,NA
2013,2,64,NA,190,NA,2,8,2,NA
2013,4,121,NA,191,NA,1,3,1,NA
2013,15,165,NA,195,NA,1,8,2,NA
2013,2,76,NA,200,NA,2,8,2,NA
2013,18,160,NA,203,NA,1,3,1,NA
2013,15,164,NA,205,NA,1,1,1,NA
2013,2,97,NA,205,NA,2,1,1,NA
