FID,AgerA,AgerB,AgerC,Difference,A-B,A-C,B-C
1,4,4,4,NO,0,0,0
2,4,4,4,NO,0,0,0
3,4,4,4,NO,0,0,0
4,6,6,6,NO,0,0,0
5,4,4,4,NO,0,0,0
6,NA,NA,NA,NA,NA,NA,NA
7,1,1,4,YES,0,-3,-3
8,2,2,2,NO,0,0,0
9,4,4,4,NO,0,0,0
10,8,8,8,NO,0,0,0
11,4,4,4,NO,0,0,0
12,5,5,5,NO,0,0,0
13,5,5,5,NO,0,0,0
14,2,2,2,NO,0,0,0
15,1,1,1,NO,0,0,0
16,1,1,1,NO,0,0,0
17,3,3,3,NO,0,0,0
18,3,3,3,NO,0,0,0
19,2,2,2,NO,0,0,0
20,4,4,4,NO,0,0,0
21,4,4,4,NO,0,0,0
22,4,4,4,NO,0,0,0
23,2,2,2,NO,0,0,0
24,6,6,6,NO,0,0,0
25,2,2,2,NO,0,0,0
26,7,7,7,NO,0,0,0
27,1,1,2,YES,0,-1,-1
28,NA,NA,NA,NA,NA,NA,NA
29,1,1,2,YES,0,-1,-1
30,4,4,4,NO,0,0,0
31,4,4,4,NO,0,0,0
32,3,3,3,NO,0,0,0
33,2,2,2,NO,0,0,0
34,1,1,2,YES,0,-1,-1
35,1,2,2,YES,-1,-1,0
36,3,3,3,NO,0,0,0
37,5,5,5,NO,0,0,0
38,4,4,4,NO,0,0,0
39,1,1,1,NO,0,0,0
40,4,4,4,NO,0,0,0
41,4,4,4,NO,0,0,0
42,4,4,4,NO,0,0,0
43,3,3,3,NO,0,0,0
44,4,4,4,NO,0,0,0
45,2,2,2,NO,0,0,0
46,2,2,2,NO,0,0,0
47,5,5,5,NO,0,0,0
48,4,4,4,NO,0,0,0
49,7,7,7,NO,0,0,0
50,5,5,5,NO,0,0,0
51,5,5,5,NO,0,0,0
52,3,3,3,NO,0,0,0
53,2,2,2,NO,0,0,0
54,2,2,2,NO,0,0,0
55,2,2,2,NO,0,0,0
56,2,2,2,NO,0,0,0
57,2,2,2,NO,0,0,0
58,2,2,2,NO,0,0,0
59,5,5,5,NO,0,0,0
60,4,4,4,NO,0,0,0
61,3,3,3,NO,0,0,0
62,2,2,2,NO,0,0,0
63,1,2,2,YES,-1,-1,0
64,2,2,2,NO,0,0,0
65,2,2,2,NO,0,0,0
66,2,2,2,NO,0,0,0
67,2,2,2,NO,0,0,0
68,2,2,2,NO,0,0,0
69,1,1,1,NO,0,0,0
70,1,1,1,NO,0,0,0
71,2,2,1,YES,0,1,1
72,1,1,1,NO,0,0,0
73,1,1,1,NO,0,0,0
74,1,1,1,NO,0,0,0
75,1,1,1,NO,0,0,0
76,1,1,1,NO,0,0,0
77,1,1,1,NO,0,0,0
78,1,1,1,NO,0,0,0
79,NA,NA,NA,NA,NA,NA,NA
80,1,1,1,NO,0,0,0
81,NA,NA,NA,NA,NA,NA,NA
82,1,1,1,NO,0,0,0
83,1,1,1,NO,0,0,0
84,1,1,1,NO,0,0,0
85,1,1,1,NO,0,0,0
86,1,1,1,NO,0,0,0
87,1,1,1,NO,0,0,0
88,1,1,1,NO,0,0,0
89,1,1,1,NO,0,0,0
90,2,1,2,YES,1,0,-1
91,2,2,2,NO,0,0,0
92,2,2,2,NO,0,0,0
93,4,4,4,NO,0,0,0
94,4,4,4,NO,0,0,0
95,2,2,2,NO,0,0,0
96,1,1,1,NO,0,0,0
97,2,2,2,NO,0,0,0
98,2,2,2,NO,0,0,0
99,2,2,2,NO,0,0,0
100,2,2,2,NO,0,0,0
101,2,2,2,NO,0,0,0
102,2,2,2,NO,0,0,0
103,4,4,4,NO,0,0,0
104,2,2,2,NO,0,0,0
105,4,4,4,NO,0,0,0
106,2,2,2,NO,0,0,0
107,2,2,2,NO,0,0,0
108,2,2,2,NO,0,0,0
109,5,5,5,NO,0,0,0
110,1,1,1,NO,0,0,0
111,2,2,2,NO,0,0,0
112,2,2,2,NO,0,0,0
113,4,4,4,NO,0,0,0
114,2,2,2,NO,0,0,0
115,2,2,2,NO,0,0,0
116,5,5,5,NO,0,0,0
117,2,2,2,NO,0,0,0
118,3,3,3,NO,0,0,0
119,2,2,2,NO,0,0,0
120,2,2,2,NO,0,0,0
121,1,1,1,NO,0,0,0
122,1,1,2,YES,0,-1,-1
123,2,2,2,NO,0,0,0
124,NA,NA,1,NA,NA,NA,NA
125,2,2,2,NO,0,0,0
126,2,2,2,NO,0,0,0
127,2,2,2,NO,0,0,0
128,5,5,5,NO,0,0,0
129,4,4,4,NO,0,0,0
130,2,2,2,NO,0,0,0
131,2,2,2,NO,0,0,0
132,7,7,7,NO,0,0,0
